Flow 1_45 -- 0.0 -- 68000.0 -- [(306, 1761), (1, 1120001), (2, 1140001), (3, 1160001), (137, 1889)]
Flow 1_46 -- 0.0 -- 68000.0 -- [(306, 1801), (1, 1145001), (2, 1165001), (3, 1185001), (137, 1929)]
Flow 1_47 -- 0.0 -- 68000.0 -- [(306, 1841), (1, 1170001), (2, 1190001), (3, 1210001), (137, 1969)]
Flow 1_48 -- 0.0 -- 68000.0 -- [(306, 1881), (1, 1195001), (2, 1215001), (3, 1235001), (137, 2009)]
Flow 1_49 -- 0.0 -- 68000.0 -- [(306, 1921), (1, 1220001), (2, 1240001), (3, 1260001), (137, 2049)]
Flow 1_50 -- 0.0 -- 68000.0 -- [(306, 1961), (1, 1245001), (2, 1265001), (3, 1285001), (137, 2089)]
Flow 1_51 -- 0.0 -- 68000.0 -- [(306, 2001), (1, 1270001), (2, 1290001), (3, 1310001), (137, 2129)]
Flow 1_52 -- 0.0 -- 68000.0 -- [(306, 2041), (1, 1295001), (2, 1315001), (3, 1335001), (137, 2169)]
Flow 1_53 -- 0.0 -- 68000.0 -- [(306, 2081), (1, 1320001), (2, 1340001), (3, 1360001), (137, 2209)]
Flow 1_54 -- 0.0 -- 68000.0 -- [(306, 2121), (1, 1345001), (2, 1365001), (3, 1385001), (137, 2249)]
Flow 1_55 -- 0.0 -- 68000.0 -- [(306, 2161), (1, 1370001), (2, 1390001), (3, 1410001), (137, 2289)]
Flow 1_56 -- 0.0 -- 68000.0 -- [(306, 2201), (1, 1395001), (2, 1415001), (3, 1435001), (137, 2329)]
Flow 1_57 -- 0.0 -- 68000.0 -- [(306, 2241), (1, 1420001), (2, 1440001), (3, 1460001), (137, 2369)]
Flow 1_58 -- 0.0 -- 68000.0 -- [(306, 2281), (1, 1445001), (2, 1465001), (3, 1485001), (137, 2409)]
Flow 1_59 -- 0.0 -- 68000.0 -- [(306, 2321), (1, 1470001), (2, 1490001), (3, 1510001), (137, 2449)]
Flow 1_60 -- 0.0 -- 68000.0 -- [(306, 2361), (1, 1495001), (2, 1515001), (3, 1535001), (137, 2489)]
Flow 1_61 -- 0.0 -- 68000.0 -- [(306, 2401), (1, 1520001), (2, 1540001), (3, 1560001), (137, 2529)]
Flow 1_62 -- 0.0 -- 68000.0 -- [(306, 2441), (1, 1545001), (2, 1565001), (3, 1585001), (137, 2569)]
Flow 1_63 -- 0.0 -- 68000.0 -- [(306, 2481), (1, 1570001), (2, 1590001), (3, 1610001), (137, 2609)]
Flow 1_64 -- 0.0 -- 68000.0 -- [(306, 2521), (1, 1595001), (2, 1615001), (3, 1635001), (137, 2649)]
Flow 1_65 -- 0.0 -- 68000.0 -- [(306, 2561), (1, 1620001), (2, 1640001), (3, 1660001), (137, 2689)]
Flow 1_66 -- 0.0 -- 68000.0 -- [(306, 2601), (1, 1645001), (2, 1665001), (3, 1685001), (137, 2729)]
Flow 1_67 -- 0.0 -- 68000.0 -- [(306, 2641), (1, 1670001), (2, 1690001), (3, 1710001), (137, 2769)]
Flow 1_68 -- 0.0 -- 68000.0 -- [(306, 2681), (1, 1695001), (2, 1715001), (3, 1735001), (137, 2809)]
Flow 1_69 -- 0.0 -- 68000.0 -- [(306, 2721), (1, 1720001), (2, 1740001), (3, 1760001), (137, 2849)]
Flow 1_70 -- 0.0 -- 68000.0 -- [(306, 2761), (1, 1745001), (2, 1765001), (3, 1785001), (137, 2889)]
Flow 1_71 -- 0.0 -- 68000.0 -- [(306, 2801), (1, 1770001), (2, 1790001), (3, 1810001), (137, 2929)]
Flow 1_72 -- 0.0 -- 68000.0 -- [(306, 2841), (1, 1795001), (2, 1815001), (3, 1835001), (137, 2969)]
Flow 1_73 -- 0.0 -- 68000.0 -- [(306, 2881), (1, 1820001), (2, 1840001), (3, 1860001), (137, 3009)]
