interface,traffic_troughput,network_troughput,waste_troughput
1,13742.768,13742.768,0.0
2,8969.6,8969.6,0.0
3,4510.392,4510.392,0.0
147,136.912,137.064,0.11089709916535341
366,130.416,130.416,0.0
586,128.0,128.208,0.16223636590540372
85,127.656,127.656,0.0
346,127.552,127.68,0.10025062656641603
306,127.432,127.632,0.15670051397768583
18,123.632,123.632,0.0
198,117.512,117.512,0.0
331,116.872,117.0,0.1094017094017094
294,114.728,114.864,0.11840089148906532
495,114.008,114.168,0.14014434867913952
583,113.248,113.424,0.15516998166172943
142,113.16,113.304,0.12709171785638637
106,112.784,112.784,0.0
579,112.568,112.68,0.09939652112176074
334,112.144,112.296,0.1353565576690176
493,110.256,110.472,0.1955246578318488
501,109.48,109.68,0.18234865061998543
25,109.472,109.472,0.0
274,109.416,109.608,0.17516969564265383
519,109.04,109.224,0.16846114407090018
187,108.656,108.656,0.0
444,108.608,108.744,0.1250643713676157
585,108.296,108.528,0.21376971841368125
223,107.592,107.808,0.20035618878005343
27,107.368,107.368,0.0
457,106.584,106.728,0.13492241960872497
180,106.48,106.48,0.0
249,106.008,106.008,0.0
561,105.704,105.84,0.12849584278155707
256,105.2,105.336,0.1291106554264449
358,104.504,104.688,0.17576035457741096
405,104.216,104.352,0.130328120208525
433,103.808,103.896,0.0847000847000847
565,103.504,103.704,0.19285659183830903
252,102.352,102.552,0.19502301271550043
483,102.072,102.24,0.1643192488262911
282,102.008,102.008,0.0
45,101.592,101.592,0.0
322,100.84,100.992,0.15050697084917616
468,100.84,100.968,0.12677283891926155
262,100.672,100.672,0.0
15,100.416,100.416,0.0
127,99.896,99.896,0.0
534,98.944,99.096,0.15338661499959635
387,98.224,98.328,0.10576844845822146
409,97.632,97.776,0.14727540500736377
286,97.472,97.608,0.13933284157036308
57,97.376,97.376,0.0
544,97.336,97.488,0.15591662563597572
489,97.152,97.296,0.1480019733596448
39,96.808,96.808,0.0
216,96.632,96.768,0.14054232804232805
466,96.36,96.576,0.22365805168986083
138,96.232,96.232,0.0
463,95.224,95.4,0.18448637316561844
220,95.176,95.304,0.13430705951481575
351,95.088,95.256,0.1763668430335097
129,95.04,95.04,0.0
447,94.952,95.04,0.09259259259259259
319,94.704,94.776,0.07596859964547986
213,94.264,94.44,0.18636171113934774
382,94.152,94.32,0.178117048346056
399,93.912,93.912,0.0
349,93.84,93.912,0.07666751852798365
484,93.6,93.792,0.2047082906857728
426,93.336,93.456,0.12840267077555212
430,93.04,93.168,0.13738622703074016
420,92.624,92.736,0.12077294685990338
250,92.488,92.64,0.16407599309153714
273,92.008,92.112,0.11290602744484975
559,91.936,92.088,0.16505950829641214
592,91.672,91.8,0.1394335511982571
403,91.6,91.776,0.19177126917712692
502,91.184,91.272,0.0964151108773775
562,91.072,91.2,0.14035087719298245
375,90.648,90.888,0.2640612622128334
373,89.968,90.072,0.11546318500754951
166,89.52,89.664,0.16059957173447537
522,89.224,89.328,0.11642486118574243
48,88.936,88.936,0.0
597,88.84,88.992,0.17080186983099604
271,88.784,88.896,0.1259899208063355
297,88.704,88.704,0.0
63,88.616,88.616,0.0
292,88.424,88.536,0.1265022137887413
352,88.32,88.44,0.13568521031207598
259,88.248,88.32,0.08152173913043478
193,88.032,88.128,0.10893246187363835
117,87.696,87.696,0.0
327,87.592,87.592,0.0
34,87.192,87.192,0.0
568,87.024,87.192,0.1926782273603083
421,85.52,85.656,0.15877463341739048
181,85.352,85.488,0.1590866554370204
577,84.984,85.104,0.1410039481105471
541,84.696,84.816,0.1414827391058291
172,84.272,84.408,0.16112216851483271
258,84.184,84.312,0.1518170604421672
285,83.984,84.096,0.13318112633181126
507,83.736,83.928,0.22876751501286818
448,83.736,83.904,0.20022883295194507
504,83.496,83.616,0.14351320321469574
90,83.392,83.392,0.0
415,83.32,83.472,0.1820969906076289
411,83.096,83.28,0.22094140249759847
303,82.968,82.968,0.0
361,82.936,82.936,0.0
460,82.936,82.968,0.03856908687686819
46,82.552,82.552,0.0
247,82.512,82.512,0.0
177,82.224,82.32,0.11661807580174927
157,82.12,82.224,0.12648375170266588
549,82.112,82.224,0.13621327106440942
279,81.888,82.008,0.1463271875914545
162,81.832,82.032,0.24380729471425786
228,81.752,81.84,0.10752688172043011
238,81.736,81.864,0.15635688458907457
384,81.528,81.672,0.17631501616220982
270,81.216,81.336,0.14753614635585718
333,81.12,81.216,0.1182033096926714
514,81.112,81.24,0.15755785327424915
217,80.856,81.024,0.20734597156398105
324,80.496,80.688,0.2379535990481856
537,80.44,80.568,0.15887200873796048
205,80.408,80.408,0.0
145,80.088,80.232,0.17947950942267424
124,79.896,79.896,0.0
288,79.512,79.632,0.1506931886678722
325,79.352,79.464,0.14094432699083861
196,78.848,78.936,0.11148272017837235
