instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_2,0.055277,1.103646,864.0,0.0,864.0,0,864.0,0.0
2,App_2,0.029845,1.441296,864.0,0.0,864.0,0,864.0,0.0
3,App_2,0.032424999999999995,1.089816,864.0,0.0,864.0,0,864.0,0.0
4,App_1,0.031311,7.792758,864.0,0.0,864.0,0,864.0,0.0
5,App_2,0.029615,1.053408,768.0,0.0,864.0,0,864.0,0.0
6,App_2,0.029973,1.135175,864.0,0.0,864.0,0,864.0,0.0
7,App_1,0.029574999999999997,5.605339,864.0,0.0,864.0,0,864.0,0.0
8,App_1,0.031802,10.398062,864.0,0.0,864.0,0,864.0,0.0
9,App_1,0.029758,6.292034,864.0,0.0,864.0,0,864.0,0.0
10,App_2,0.030102999999999998,1.273293,864.0,0.0,864.0,0,864.0,0.0
