interface,traffic_troughput,network_troughput,waste_troughput
1,13694.096,13694.096,0.0
2,13694.096,13694.096,0.0
3,13694.096,13694.096,0.0
10,155.296,155.448,0.09778189491019505
278,122.112,122.28,0.13738959764474976
273,119.872,120.024,0.12664133839898686
366,119.76,119.952,0.1600640256102441
377,118.112,118.32,0.1757944557133198
132,115.248,115.344,0.08322929671244278
108,113.24,113.4,0.14109347442680775
103,109.536,109.704,0.15313935681470137
176,109.472,109.656,0.16779747574232143
325,109.096,109.272,0.16106596383336994
385,108.92,109.104,0.16864642909517524
201,108.632,108.768,0.12503677552221243
22,107.936,108.096,0.14801657785671996
71,107.624,107.76,0.12620638455827765
202,107.384,107.592,0.19332292363744516
197,106.92,107.088,0.15688032272523533
357,106.736,106.872,0.12725503405943558
72,105.288,105.36,0.0683371298405467
313,103.32,103.536,0.2086230876216968
19,102.832,102.984,0.14759574302804318
154,102.816,102.984,0.1631321370309951
186,102.792,102.96,0.16317016317016317
210,102.408,102.552,0.14041656915516032
309,102.224,102.456,0.22643866635433746
107,101.832,102.0,0.16470588235294117
284,101.64,101.76,0.1179245283018868
133,100.976,101.088,0.11079455523899968
285,100.96,101.088,0.12662234884457108
362,99.976,100.152,0.17573288601325984
275,99.6,99.768,0.16839066634592254
139,99.424,99.576,0.15264722423073834
207,99.192,99.36,0.16908212560386474
396,98.936,99.096,0.16145959473641722
106,98.88,99.0,0.12121212121212122
293,98.336,98.52,0.18676410881039382
155,98.216,98.328,0.11390448295500773
343,98.208,98.352,0.14641288433382138
242,97.784,97.92,0.1388888888888889
65,96.824,96.912,0.09080402839689615
60,96.672,96.816,0.1487357461576599
59,96.08,96.216,0.1413486322441174
145,96.0,96.096,0.0999000999000999
130,94.784,94.896,0.11802394199966279
287,94.736,94.824,0.09280350966000168
174,94.616,94.728,0.11823325732623934
80,94.112,94.224,0.11886568177958906
160,94.104,94.296,0.20361415118350726
315,93.88,94.032,0.16164709885996256
43,93.424,93.576,0.16243481234504573
294,93.408,93.624,0.23071007433991284
222,93.184,93.408,0.23980815347721823
277,93.088,93.216,0.13731548232063165
286,92.904,93.0,0.1032258064516129
8,92.888,93.024,0.14619883040935672
91,92.776,92.856,0.08615490652192642
375,92.688,92.856,0.18092530369604548
149,92.56,92.688,0.1380977041256689
84,92.264,92.4,0.1471861471861472
281,92.2,92.28,0.08669267446900737
219,91.784,91.92,0.14795474325500435
57,91.616,91.776,0.17433751743375175
24,91.608,91.776,0.18305439330543932
352,91.584,91.728,0.15698587127158556
264,91.312,91.416,0.11376564277588168
397,91.008,91.152,0.1579778830963665
334,90.928,91.056,0.14057283429977158
354,90.72,90.864,0.15847860538827258
317,90.264,90.384,0.1327668613913967
99,90.192,90.312,0.13287270794578793
356,90.008,90.168,0.17744654422855116
384,89.896,90.024,0.1421843064071803
116,89.704,89.832,0.1424882001959213
234,89.656,89.784,0.1425643767263655
225,89.248,89.376,0.14321518080916576
129,89.08,89.184,0.11661284535342663
124,89.008,89.136,0.14360078980434393
270,88.984,89.112,0.1436394649429931
37,88.872,89.016,0.1617686708007549
302,88.56,88.656,0.10828370330265295
335,88.552,88.704,0.17135642135642135
175,88.232,88.44,0.23518769787426505
291,87.872,87.96,0.10004547521600728
89,87.616,87.696,0.09122422915526364
223,87.6,87.72,0.13679890560875513
199,87.584,87.672,0.1003741217264349
195,87.232,87.432,0.22874919937780216
41,87.104,87.168,0.07342143906020558
214,87.104,87.312,0.23822613157412498
101,86.808,86.928,0.13804527885146328
157,86.648,86.784,0.1567109144542773
5,86.544,86.688,0.16611295681063123
205,85.208,85.368,0.187423859057258
243,84.024,84.168,0.1710863986313088
9,83.912,84.048,0.16181229773462782
31,83.864,84.0,0.1619047619047619
105,83.856,84.048,0.2284408909194746
166,83.848,83.928,0.09531979792202841
276,83.656,83.784,0.1527737992934212
180,83.416,83.52,0.12452107279693486
363,83.208,83.376,0.20149683362118595
274,82.752,82.824,0.08693132425383947
263,82.752,82.92,0.20260492040520983
387,82.52,82.608,0.10652721286073988
153,82.368,82.536,0.2035475428903751
249,82.36,82.464,0.12611563833915407
247,82.304,82.416,0.13589594253543003
141,82.208,82.344,0.16516078888565044
14,81.52,81.672,0.18611029483788813
169,81.52,81.696,0.2154328241284763
74,81.32,81.432,0.13753806857255133
117,81.24,81.36,0.14749262536873156
300,81.112,81.24,0.15755785327424915
333,81.112,81.192,0.09853187506158242
394,80.792,80.928,0.16805061289047055
267,80.624,80.736,0.13872374157748713
367,80.528,80.64,0.1388888888888889
359,80.528,80.64,0.1388888888888889
39,79.904,80.016,0.13997200559888023
140,79.68,79.896,0.27035145689396217
86,79.36,79.488,0.1610305958132045
196,79.304,79.368,0.0806370325572019
398,79.288,79.392,0.1309955663039097
36,79.288,79.44,0.19133937562940584
251,79.2,79.344,0.18148820326678766
58,79.152,79.296,0.18159806295399517
81,79.096,79.176,0.1010407194099222
66,79.032,79.104,0.09101941747572816
55,78.536,78.648,0.14240667276980978
213,78.32,78.384,0.08164931618697693
184,77.664,77.784,0.154273372415921
88,77.536,77.688,0.1956544125218824
388,77.336,77.448,0.14461315979754158
119,77.296,77.472,0.2271788517141677
48,77.128,77.208,0.10361620557455185
94,77.048,77.184,0.1762023217247098
18,77.048,77.184,0.1762023217247098
168,76.952,77.064,0.14533374857261497
254,76.888,77.04,0.19730010384215993
279,76.888,76.968,0.10393929944912171
266,76.816,76.968,0.19748466895333125
341,76.784,76.944,0.20794343938448742
250,76.512,76.656,0.18785222291797118
212,76.408,76.56,0.19853709508881923
332,76.296,76.416,0.157035175879397
376,76.136,76.224,0.11544920235096558
228,75.752,75.864,0.1476326057154909
292,75.6,75.672,0.09514747859181731
25,75.592,75.744,0.2006759611322349
258,75.528,75.648,0.15862944162436549
146,75.384,75.504,0.1589319771137953
246,75.072,75.192,0.15959144589849983
148,75.064,75.24,0.23391812865497075
380,75.016,75.168,0.2022137079608344
272,75.0,75.144,0.1916320664324497
338,74.736,74.856,0.1603077909586406
208,74.664,74.784,0.16046213093709885
152,74.536,74.64,0.13933547695605572
111,74.536,74.688,0.2035132819194516
304,74.288,74.352,0.08607703894986013
67,73.856,73.944,0.11900897976847344
220,73.776,73.896,0.16239038648911985
185,73.768,73.872,0.1407840589127139
238,73.328,73.512,0.2502992708673414
95,73.312,73.44,0.17429193899782136
260,73.272,73.44,0.22875816993464052
370,72.92,73.104,0.25169621361348216
389,72.864,72.984,0.1644195988161789
295,72.72,72.864,0.1976284584980237
378,72.48,72.6,0.1652892561983471
239,72.416,72.528,0.1544231193470108
244,72.384,72.528,0.1985440105890139
403,72.096,72.216,0.16616816218012628
297,72.08,72.192,0.1551418439716312
372,72.0,72.096,0.13315579227696406
339,71.944,72.12,0.24403771491957849
113,71.848,71.976,0.17783705679671002
379,71.84,71.952,0.15565932844118302
189,71.528,71.664,0.18977450323732975
112,71.488,71.616,0.17873100983020554
50,71.432,71.52,0.12304250559284116
391,71.272,71.4,0.1792717086834734
147,70.944,71.112,0.2362470469119136
63,70.808,70.872,0.09030364600970764
204,70.536,70.632,0.13591573224600748
12,70.144,70.272,0.18214936247723132
30,70.088,70.2,0.15954415954415954
110,69.928,70.008,0.11427265455376528
23,69.84,69.96,0.17152658662092624
209,69.752,69.864,0.16031146226955229
324,69.696,69.84,0.20618556701030927
6,69.688,69.816,0.18333906267904204
34,69.608,69.768,0.2293314986813439
53,69.584,69.768,0.26373122348354544
28,68.976,69.096,0.1736714136853074
51,68.8,68.88,0.11614401858304298
138,68.656,68.784,0.1860897883228658
102,67.72,67.848,0.1886569979955194
