interface,traffic_troughput,network_troughput,waste_troughput
388,40.6,40.728,0.3142801021410332
600,40.312,40.416,0.2573238321456849
429,38.92,39.048,0.32780167998360993
346,38.88,38.952,0.18484288354898337
502,38.744,38.832,0.22661722290894107
216,38.128,38.232,0.2720234358652438
18,37.744,37.824,0.21150592216582065
186,35.792,35.856,0.178491744756805
406,35.568,35.64,0.20202020202020202
438,34.752,34.848,0.27548209366391185
13,34.744,34.744,0.0
562,33.752,33.864,0.3307347035199622
256,33.736,33.84,0.3073286052009456
204,33.696,33.816,0.35486160397445
504,33.464,33.528,0.19088523025530899
34,32.76,32.88,0.36496350364963503
487,32.176,32.208,0.09935419771485346
589,31.392,31.464,0.2288329519450801
285,30.608,30.608,0.0
150,30.432,30.504,0.23603461841070023
501,29.96,30.024,0.21316280309086064
114,29.432,29.52,0.2981029810298103
522,29.272,29.328,0.19094380796508456
478,29.024,29.088,0.22002200220022003
195,28.672,28.672,0.0
267,28.608,28.608,0.0
126,28.44,28.536,0.33641715727502103
355,28.384,28.384,0.0
69,28.024,28.024,0.0
265,26.712,26.712,0.0
48,26.28,26.4,0.45454545454545453
381,25.88,25.88,0.0
247,21.848,21.848,0.0
349,21.28,21.28,0.0
210,15.976,16.056,0.4982561036372696
28,15.408,15.456,0.3105590062111801
324,13.864,13.896,0.23028209556706966
295,12.88,12.88,0.0
