interface,traffic_troughput,network_troughput,waste_troughput
1,50383.76,50383.76,0.0
2,50383.76,50383.76,0.0
3,50383.76,50383.76,0.0
312,399.44,399.864,0.10603605225776765
149,396.08,396.456,0.09484028492443046
214,365.52,365.808,0.07872982548222018
184,360.56,360.96,0.11081560283687943
329,357.6,357.936,0.09387153010594072
88,356.56,356.856,0.08294662272737463
71,354.16,354.48,0.09027307605506657
167,351.28,351.648,0.10465010465010464
174,350.4,350.736,0.09579854933625291
255,348.64,348.984,0.09857185429704514
109,348.08,348.432,0.10102401616384259
161,345.04,345.288,0.07182410046106438
153,343.6,343.896,0.08607253355665666
287,340.88,341.16,0.08207292765857663
188,340.64,340.92,0.08213070515076851
285,339.6,339.96,0.10589481115425343
193,338.32,338.64,0.09449562957713206
172,336.32,336.648,0.09743114469713172
122,335.92,336.192,0.08090614886731391
196,335.6,335.88,0.08336310587114446
175,335.44,335.76,0.09530617107457708
348,335.28,335.616,0.10011441647597254
244,334.8,335.088,0.08594757198109153
282,333.92,334.224,0.09095696299487768
84,333.36,333.624,0.0791309977699446
238,333.28,333.648,0.11029588068862993
385,332.96,333.216,0.07682704311917796
125,329.28,329.52,0.07283321194464676
217,329.12,329.4,0.08500303582270795
151,328.8,329.088,0.08751458576429405
281,326.4,326.64,0.07347538574577517
181,324.32,324.624,0.0936468036867268
92,322.96,323.28,0.0989853996535511
228,322.96,323.208,0.07673077399074281
110,322.72,323.064,0.10648044969417825
43,322.56,322.92,0.11148272017837235
64,322.08,322.368,0.08933889219773675
216,321.68,322.008,0.10186082333358178
289,320.96,321.24,0.08716224629560453
369,317.68,318.024,0.10816793701104319
104,317.2,317.52,0.10078105316200554
42,316.88,317.232,0.11095980228980683
223,315.52,315.84,0.10131712259371833
197,315.04,315.288,0.07865824262261806
232,314.8,315.096,0.09393962474928276
278,314.72,315.048,0.10411111957542978
292,312.72,312.96,0.07668711656441718
371,312.4,312.672,0.08699211953740661
68,311.36,311.64,0.08984725965858041
22,311.04,311.328,0.09250693802035152
81,310.48,310.704,0.07209434059426335
302,307.68,307.968,0.09351620947630923
353,306.8,307.08,0.09118145108766446
33,306.48,306.72,0.0782472613458529
257,304.88,305.064,0.06031521254556421
86,304.72,304.992,0.08918266708634981
189,304.32,304.656,0.11028832519300456
121,303.76,304.032,0.08946426691927166
38,303.44,303.792,0.11586875230420814
9,302.96,303.192,0.07651916937122351
7,302.96,303.216,0.08442826236082529
83,302.64,302.832,0.06340148993501347
129,302.32,302.64,0.10573618821041501
15,300.08,300.408,0.10918484194828366
28,299.84,300.12,0.09329601492736239
304,299.2,299.448,0.08281905372552163
96,298.64,298.968,0.10971073827299242
360,297.68,297.888,0.06982490063379525
243,297.52,297.864,0.11548894797625762
145,296.96,297.24,0.09419997308572198
80,296.48,296.736,0.08627197239296884
212,296.24,296.568,0.11059858110113026
400,296.0,296.232,0.07831699478786897
359,295.6,295.92,0.10813733441470667
198,295.2,295.512,0.10557946885405668
381,295.2,295.488,0.09746588693957114
325,294.64,294.96,0.10848928668294006
20,293.76,294.0,0.08163265306122448
94,293.6,293.784,0.06263104866160173
337,293.44,293.64,0.06811061163329246
46,293.12,293.4,0.09543285616905249
290,292.64,292.944,0.10377410016931564
162,292.56,292.824,0.09015654454552906
259,291.92,292.2,0.09582477754962354
124,291.68,292.008,0.11232568970713132
6,291.44,291.768,0.11241808560225933
350,290.8,291.144,0.11815459016843899
231,290.4,290.616,0.07432488231893633
293,289.68,290.04,0.12412081092263136
119,289.36,289.632,0.09391227488675284
253,288.08,288.312,0.08046838147562363
333,287.52,287.688,0.058396596312672064
95,287.36,287.592,0.08066983782580879
320,286.48,286.728,0.0864931224017187
194,286.24,286.512,0.09493494164293294
89,286.24,286.464,0.07819481680071493
384,286.08,286.344,0.09219679825664236
201,286.08,286.368,0.10056989607777406
283,286.0,286.32,0.11176306230790724
173,285.84,286.104,0.0922741380756648
58,285.28,285.456,0.06165573678605459
297,284.88,285.144,0.0925847992593216
234,284.4,284.616,0.07589172780166961
345,284.4,284.664,0.0927409156057668
327,283.84,284.088,0.08729689392019374
168,283.76,284.016,0.09013576699904231
39,283.6,283.896,0.10426353312480627
170,283.44,283.68,0.08460236886632826
318,283.28,283.512,0.08183075143203815
365,282.96,283.152,0.06780810306831667
264,281.92,282.144,0.07939208347510492
127,281.36,281.616,0.09090392591330038
23,281.28,281.496,0.07673288430386223
233,280.96,281.184,0.07966313872766587
206,280.72,280.944,0.07973119198132012
8,280.48,280.776,0.10542211585035759
79,280.4,280.704,0.10829913360693115
211,279.84,280.128,0.10281014393420151
396,279.68,279.912,0.08288319186029895
138,279.2,279.384,0.06585917590126851
76,278.88,279.168,0.1031636863823934
403,278.88,279.144,0.0945748430917376
85,278.48,278.736,0.09184317777395098
19,277.68,277.968,0.10360904852357106
205,277.28,277.464,0.06631490932156965
236,277.12,277.392,0.09805618042337198
357,276.48,276.696,0.078064012490242
387,276.24,276.432,0.06945650286508075
351,275.44,275.688,0.0899567627172746
128,274.96,275.256,0.10753625715697387
106,274.72,274.992,0.09891196834817013
160,274.48,274.704,0.08154231463684548
344,274.4,274.656,0.09320750320400792
164,273.6,273.84,0.0876424189307625
169,273.04,273.336,0.10829162642315684
315,272.56,272.808,0.090906425031524
101,272.48,272.712,0.085071430666784
374,272.4,272.688,0.10561520859003697
258,272.32,272.52,0.07338910905621605
179,272.32,272.568,0.09098646943148132
275,271.92,272.184,0.09699321047526673
195,271.2,271.44,0.08841732979664015
273,269.76,270.048,0.10664770707429791
14,268.88,269.112,0.08620945925859864
226,268.8,269.016,0.08029262200017843
277,267.52,267.816,0.11052364309824655
63,267.12,267.36,0.08976660682226212
186,266.64,266.856,0.08094253080312978
301,266.32,266.568,0.09303442273641248
117,265.84,266.184,0.12923391338322363
341,265.36,265.584,0.08434243026688355
135,264.88,265.08,0.07544892108042855
338,264.4,264.672,0.10276870995042921
268,264.16,264.384,0.08472524812394093
271,263.76,264.024,0.09999090991728024
74,263.6,263.808,0.07884522076661815
401,263.52,263.736,0.0819000819000819
317,263.12,263.4,0.10630220197418375
245,263.12,263.352,0.08809502111242748
77,262.96,263.184,0.08511155693355218
395,262.8,263.064,0.10035580695192045
91,262.48,262.728,0.09439420236898999
136,262.4,262.656,0.09746588693957114
