interface,traffic_troughput,network_troughput,waste_troughput
1,1747.446,1747.446,0.0
2,1747.446,1747.446,0.0
3,1747.446,1747.446,0.0
17,17.311,17.331,0.11540015002019503
33,16.265,16.287,0.135077055320194
239,16.138,16.158,0.12377769525931427
338,15.748,15.774,0.16482819830100165
92,15.638,15.657,0.1213514721849652
366,15.441,15.459,0.11643702697457792
283,15.271,15.288,0.11119832548403977
310,14.563,14.583,0.13714599190838647
181,14.495,14.517,0.1515464627677895
254,14.309,14.334,0.17441049253523092
61,14.229,14.25,0.14736842105263157
197,14.184,14.208,0.16891891891891891
289,14.142,14.163,0.14827367083245074
72,13.986,14.001,0.10713520462824085
403,13.842,13.851,0.0649772579597141
300,13.837,13.863,0.18754959244030875
330,13.803,13.821,0.13023659648361188
323,13.579,13.608,0.21310993533215755
149,13.475,13.485,0.07415647015202076
339,13.402,13.428,0.19362526064938934
160,13.191,13.209,0.13627072450601863
242,13.128,13.146,0.13692377909630304
24,12.933,12.954,0.1621120889300602
103,12.932,12.951,0.14670681800633156
352,12.824,12.834,0.07791803023219573
79,12.758,12.78,0.17214397496087636
373,12.751,12.771,0.15660480776759847
286,12.724,12.741,0.13342751746330744
176,12.698,12.711,0.10227362127291323
251,12.576,12.591,0.11913271384322136
312,12.541,12.561,0.15922299180001592
6,12.487,12.504,0.13595649392194498
120,12.458,12.471,0.10424184107128538
30,12.458,12.474,0.1282667949334616
101,12.411,12.435,0.19300361881785283
347,12.336,12.357,0.16994416120417577
66,12.336,12.348,0.09718172983479106
148,12.258,12.273,0.12221950623319482
220,12.238,12.252,0.11426705843943846
253,12.197,12.216,0.15553372626064177
332,12.168,12.186,0.14771048744460857
131,12.112,12.132,0.16485328058028353
153,11.995,12.006,0.09162085623854739
112,11.906,11.922,0.1342056701895655
269,11.889,11.907,0.15117157974300832
189,11.863,11.886,0.19350496382298502
376,11.731,11.739,0.06814890535820768
45,11.73,11.742,0.10219724067450178
46,11.724,11.742,0.1532958610117527
44,11.722,11.742,0.170328734457503
350,11.713,11.736,0.19597818677573278
205,11.699,11.712,0.11099726775956284
353,11.648,11.67,0.18851756640959727
43,11.578,11.604,0.224060668734919
19,11.575,11.589,0.12080421088963672
75,11.567,11.586,0.16399102364923182
196,11.538,11.55,0.1038961038961039
305,11.465,11.481,0.13936068286734604
295,11.46,11.475,0.13071895424836602
128,11.459,11.481,0.19162093894260082
125,11.445,11.463,0.15702695629416383
238,11.415,11.433,0.1574389923904487
284,11.407,11.433,0.2274118778973148
97,11.405,11.412,0.06133894146512443
315,11.382,11.394,0.105318588730911
123,11.278,11.298,0.17702248185519562
132,11.262,11.274,0.10643959552953698
326,11.256,11.265,0.07989347536617843
329,11.219,11.229,0.0890551251224508
83,11.183,11.199,0.14286989909813377
115,11.162,11.181,0.16993113317234596
221,11.143,11.16,0.15232974910394265
285,11.112,11.136,0.21551724137931033
320,11.06,11.076,0.1444564824846515
223,10.995,11.013,0.16344320348678834
94,10.995,11.007,0.10902153175252112
333,10.992,11.01,0.16348773841961853
365,10.947,10.962,0.13683634373289547
236,10.945,10.965,0.1823985408116735
371,10.944,10.959,0.1368738023542294
194,10.895,10.914,0.17408832691955287
18,10.871,10.881,0.09190331770976932
192,10.857,10.878,0.19305019305019305
261,10.841,10.86,0.17495395948434622
267,10.825,10.848,0.21202064896755163
317,10.777,10.791,0.12973774441664349
71,10.743,10.758,0.13943112102621305
56,10.737,10.752,0.13950892857142858
54,10.736,10.755,0.17666201766620176
204,10.697,10.716,0.1773049645390071
246,10.67,10.686,0.14972861688190156
341,10.661,10.68,0.17790262172284643
274,10.648,10.668,0.18747656542932134
394,10.642,10.656,0.1313813813813814
275,10.566,10.581,0.14176353841791892
137,10.54,10.554,0.13265112753458405
244,10.525,10.536,0.1044039483675019
4,10.507,10.53,0.2184235517568851
198,10.504,10.527,0.2184857984231025
385,10.501,10.518,0.16162768587183876
270,10.497,10.512,0.14269406392694065
367,10.487,10.509,0.20934437149110285
172,10.467,10.479,0.1145147437732608
136,10.423,10.44,0.16283524904214558
391,10.368,10.38,0.11560693641618497
34,10.364,10.383,0.18299142829625348
116,10.354,10.368,0.13503086419753085
47,10.349,10.362,0.12545840571318279
5,10.314,10.332,0.17421602787456447
188,10.313,10.332,0.18389469608981804
114,10.312,10.323,0.1065581710743001
78,10.311,10.323,0.11624527753560011
247,10.293,10.314,0.2036067481093659
29,10.283,10.302,0.18443020772665503
266,10.276,10.287,0.10693107805968699
174,10.261,10.284,0.2236483858420848
164,10.26,10.275,0.145985401459854
393,10.216,10.233,0.16612918987589173
308,10.178,10.194,0.15695507161075142
234,10.154,10.179,0.24560369387955594
202,10.146,10.161,0.14762326542663123
175,10.139,10.152,0.128053585500394
122,10.13,10.146,0.1576976148235758
402,10.09,10.107,0.16820025724745227
163,10.076,10.086,0.099147332936744
282,10.044,10.062,0.17889087656529518
21,10.004,10.02,0.1596806387225549
10,9.946,9.969,0.23071521717323704
227,9.937,9.948,0.11057498994772819
360,9.936,9.942,0.060350030175015085
22,9.92,9.936,0.1610305958132045
180,9.836,9.855,0.19279553526128868
232,9.817,9.834,0.1728696359568843
248,9.815,9.828,0.13227513227513227
245,9.805,9.828,0.23402523402523404
139,9.742,9.759,0.17419817604262733
119,9.732,9.741,0.09239297813366185
73,9.72,9.735,0.15408320493066255
359,9.717,9.735,0.18489984591679506
105,9.709,9.732,0.2363337443485409
381,9.681,9.705,0.2472952086553323
388,9.666,9.681,0.1549426712116517
357,9.631,9.642,0.11408421489317569
328,9.624,9.633,0.09342883836810963
364,9.583,9.597,0.14587892049598833
207,9.567,9.582,0.15654351909830932
216,9.561,9.576,0.15664160401002505
87,9.544,9.558,0.1464741577735928
169,9.517,9.531,0.1468890987304585
147,9.492,9.507,0.1577784790154623
118,9.489,9.504,0.15782828282828282
311,9.465,9.48,0.15822784810126583
306,9.445,9.462,0.17966603255125765
111,9.428,9.45,0.2328042328042328
191,9.417,9.438,0.22250476795931343
195,9.416,9.429,0.1378725209460176
51,9.409,9.426,0.18035221727137704
348,9.364,9.384,0.21312872975277067
96,9.325,9.345,0.21401819154628143
233,9.308,9.321,0.1394700139470014
344,9.304,9.321,0.1823838643922326
399,9.296,9.315,0.20397208803005903
50,9.276,9.297,0.22587931590835753
158,9.245,9.258,0.14041909699719163
135,9.227,9.24,0.1406926406926407
143,9.223,9.234,0.11912497292614252
325,9.221,9.237,0.17321641225506118
392,9.22,9.237,0.18404243802100248
156,9.216,9.234,0.1949317738791423
252,9.197,9.21,0.14115092290988057
93,9.191,9.213,0.23879300987734722
277,9.185,9.198,0.14133507284192215
65,9.182,9.198,0.17395085888236572
8,9.168,9.186,0.1959503592423253
265,9.132,9.144,0.13123359580052493
159,9.096,9.114,0.19749835418038184
297,9.092,9.108,0.1756697408871322
313,9.077,9.093,0.1759595293082591
185,9.075,9.096,0.23087071240105542
178,9.068,9.081,0.14315604008369123
349,9.062,9.075,0.14325068870523416
377,8.999,9.015,0.17748197448696618
281,8.984,8.997,0.14449260864732688
291,8.968,8.979,0.12250807439581245
370,8.946,8.964,0.20080321285140562
230,8.942,8.955,0.14517029592406477
263,8.931,8.943,0.13418316001341832
110,8.908,8.922,0.15691548980049316
14,8.894,8.901,0.07864284911807662
400,8.889,8.901,0.13481631277384565
303,8.853,8.868,0.16914749661705006
32,8.852,8.865,0.14664410603496897
165,8.831,8.841,0.11310937676733401
363,8.83,8.844,0.15829941203075532
107,8.829,8.847,0.2034587995930824
351,8.821,8.835,0.15846066779852858
141,8.818,8.835,0.19241652518392757
102,8.791,8.802,0.1249715973642354
241,8.773,8.784,0.12522768670309653
193,8.772,8.79,0.20477815699658702
70,8.768,8.784,0.18214936247723132
384,8.763,8.781,0.20498804236419543
7,8.739,8.757,0.20554984583761562
208,8.719,8.736,0.1945970695970696
256,8.685,8.706,0.2412129565816678
340,8.662,8.682,0.230361667818475
15,8.635,8.652,0.19648636153490523
398,8.623,8.637,0.16209331943962024
84,8.617,8.631,0.16220600162206
401,8.512,8.526,0.16420361247947454
362,8.5,8.517,0.1996007984031936
157,8.491,8.505,0.1646090534979424
278,8.482,8.508,0.305594734367654
257,8.482,8.493,0.12951842693983281
100,8.476,8.487,0.12960999175209142
52,8.431,8.448,0.2012310606060606
255,8.41,8.427,0.20173252640322772
40,8.406,8.418,0.14255167498218105
16,8.395,8.412,0.20209224916785545
390,8.388,8.403,0.1785076758300607
60,8.369,8.385,0.19081693500298152
39,8.36,8.379,0.22675736961451248
210,8.35,8.364,0.1673840267814443
260,8.337,8.346,0.10783608914450037
