instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_1,0.000931,0.006721,338740.0,0,338740.0,0.0,338740.0,0
2,App_1,0.000931,0.006085,338980.0,0,338980.0,0.0,338980.0,0
3,App_2,0.000931,0.001721,540900.0,0,540900.0,0.0,540900.0,0
4,App_2,0.000931,0.001772,541380.0,0,541380.0,0.0,541380.0,0
5,App_2,0.000931,0.00176,740900.0,0,740900.0,0.0,740900.0,0
6,App_1,0.000931,0.006389,788980.0,0,788980.0,0.0,788980.0,0
7,App_1,0.000931,0.007941,838980.0,0,838980.0,0.0,838980.0,0
8,App_1,0.000931,0.008878,588980.0,0,838980.0,0.0,838980.0,0
9,App_1,0.000931,0.007338,888740.0,0,888740.0,0.0,888740.0,0
10,App_2,0.000931,0.001974,1091140.0,0,1091140.0,0.0,1091140.0,0
11,App_2,0.000931,0.002927,791380.0,0,1091140.0,0.0,1091140.0,0
12,App_1,0.000931,0.007276,838740.0,0,1091140.0,0.0,888740.0,0
14,App_1,0.000931,0.007278,888980.0,0,1091140.0,0.0,888980.0,0
15,App_2,0.000931,0.002451,1091140.0,0,1091140.0,0.0,1091140.0,0
17,App_2,0.000931,0.002633,1290900.0,0,1290900.0,0.0,1290900.0,0
18,App_2,0.000931,0.002515,1541140.0,0,1541140.0,0.0,1541140.0,0
19,App_2,0.000931,0.002429,1291380.0,0,1541140.0,0.0,1541140.0,0
22,App_2,0.000931,0.002132,1740900.0,0,1740900.0,0.0,1740900.0,0
23,App_2,0.000931,0.003017,1542020.0,0,1740900.0,0.0,1740900.0,0
25,App_2,0.000931,0.002915,2091140.0,0,2091140.0,0.0,2091140.0,0
26,App_2,0.000931,0.002421,2290900.0,0,2290900.0,0.0,2290900.0,0
30,App_2,0.000931,0.003022,1791140.0,0,2290900.0,0.0,2290900.0,0
32,App_2,0.000931,0.003001,2090900.0,0,2290900.0,0.0,2290900.0,0
37,App_2,0.000931,0.002204,2291700.0,0,2291700.0,0.0,2291700.0,0
39,App_2,0.000931,0.002232,2541140.0,0,2541140.0,0.0,2541140.0,0
40,App_2,0.000931,0.002221,2542020.0,0,2542020.0,0.0,2542020.0,0
45,App_2,0.000931,0.002212,2790900.0,0,2790900.0,0.0,2790900.0,0
46,App_2,0.000931,0.016335,2740900.0,0,2790900.0,0.0,2790900.0,0
48,App_2,0.000931,0.00221,3091140.0,0,3091140.0,0.0,3091140.0,0
49,App_2,0.000931,0.002343,3291140.0,0,3291140.0,0.0,3291140.0,0
50,App_2,0.000931,0.002351,3541140.0,0,3541140.0,0.0,3541140.0,0
53,App_2,0.000931,0.002241,3790900.0,0,3790900.0,0.0,3790900.0,0
56,App_2,0.000931,0.002163,4090900.0,0,4090900.0,0.0,4090900.0,0
57,App_2,0.000931,0.002946,4291140.0,0,4291140.0,0.0,4291140.0,0
58,App_2,0.000931,0.002134,4541140.0,0,4541140.0,0.0,4541140.0,0
60,App_2,0.000931,0.002779,4791380.0,0,4791380.0,0.0,4791380.0,0
62,App_2,0.000931,0.002474,3091140.0,0,4791380.0,0.0,4791380.0,0
64,App_2,0.000931,0.002405,3292020.0,0,4791380.0,0.0,4791380.0,0
65,App_2,0.000931,0.002148,5090900.0,0,5090900.0,0.0,5090900.0,0
66,App_2,0.000931,0.002753,3541140.0,0,5090900.0,0.0,5090900.0,0
70,App_2,0.000931,0.002771,5291140.0,0,5291140.0,0.0,5291140.0,0
71,App_2,0.000931,0.003136,3741380.0,0,5291140.0,0.0,5291140.0,0
73,App_2,0.000931,0.002652,4091380.0,0,5291140.0,0.0,5291140.0,0
74,App_2,0.000931,0.002618,4290900.0,0,5291140.0,0.0,5291140.0,0
76,App_2,0.000931,0.00261,4542020.0,0,5291140.0,0.0,5291140.0,0
80,App_2,0.000931,0.002383,5540900.0,0,5540900.0,0.0,5540900.0,0
81,App_2,0.000931,0.002347,5790900.0,0,5790900.0,0.0,5790900.0,0
82,App_2,0.000931,0.00261,6090900.0,0,6090900.0,0.0,6090900.0,0
83,App_2,0.000931,0.002437,4740900.0,0,6090900.0,0.0,6090900.0,0
84,App_2,0.000931,0.002178,6291380.0,0,6291380.0,0.0,6291380.0,0
88,App_2,0.000931,0.002506,5091700.0,0,6291380.0,0.0,6291380.0,0
91,App_2,0.000931,0.002682,5292020.0,0,6291380.0,0.0,6291380.0,0
93,App_2,0.000931,0.003035,5541700.0,0,6291380.0,0.0,6291380.0,0
95,App_2,0.000931,0.00259,6541140.0,0,6541140.0,0.0,6541140.0,0
97,App_2,0.000931,0.002335,6791140.0,0,6791140.0,0.0,6791140.0,0
98,App_2,0.000931,0.002813,7091380.0,0,7091380.0,0.0,7091380.0,0
100,App_2,0.000931,0.002321,7290900.0,0,7290900.0,0.0,7290900.0,0
105,App_2,0.000931,0.002612,5741140.0,0,7290900.0,0.0,7290900.0,0
107,App_2,0.000931,0.002313,7541380.0,0,7541380.0,0.0,7541380.0,0
112,App_2,0.000931,0.002448,7790900.0,0,7790900.0,0.0,7790900.0,0
118,App_2,0.000931,0.002718,6091380.0,0,7790900.0,0.0,7790900.0,0
120,App_2,0.000931,0.002951,6292340.0,0,7790900.0,0.0,7790900.0,0
122,App_2,0.000931,0.002777,6541380.0,0,7790900.0,0.0,7790900.0,0
123,App_2,0.000931,0.002698,8090900.0,0,8090900.0,0.0,8090900.0,0
124,App_2,0.000931,0.002494,8291140.0,0,8291140.0,0.0,8291140.0,0
126,App_2,0.000931,0.002513,8540900.0,0,8540900.0,0.0,8540900.0,0
127,App_2,0.000931,0.002778,6740900.0,0,8540900.0,0.0,8540900.0,0
