instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App_2,0.057489,0.003067,2884.0,0,2884.0,0.0,2884.0,0
3,App_2,0.057489,0.150293,3076.0,0,3076.0,0.0,3076.0,0
5,App_2,0.057489,0.1544,3076.0,0,3076.0,0.0,3076.0,0
6,App_2,0.057489,0.151697,2884.0,0,3076.0,0.0,3076.0,0
7,App_2,0.057489,0.151683,2884.0,0,3076.0,0.0,3076.0,0
8,App_2,0.057489,0.152714,2884.0,0,3076.0,0.0,3076.0,0
9,App_2,0.057489,0.153028,3076.0,0,3076.0,0.0,3076.0,0
