bit per timeslot,pre_processing_time,loading_time,solving_time,post_processing_time
16384,0.291,10.894613,40.605486,0.20899
32768,0.176,2.960489,7.963522,0.9930
65536,0.82,0.841506,3.314854,0.5498
131072,0.104,0.273034,1.63579,0.2173
262144,0.45,0.96468,0.422545,0.1127
